12600900;MADOPAR DEPOT;+ Alpha Pharmaceuticals GmbH;REK;2019-02-15;YES
12649533;CERVARIX ISU IN EINER FER;+ Alpha Pharmaceuticals GmbH;ISU;2019-02-15;YES
12897691;REBIF 44UG/0.5ML PATRONE;+ Alpha Pharmaceuticals GmbH;ILO;2019-02-15;YES
13365453;GARDASIL 9 INJ.SUS.I.E.FER;+ Alpha Pharmaceuticals GmbH;FER;2019-02-15;YES
13504506;ABILIFY MAINTENA 400MG;+ Alpha Pharmaceuticals GmbH;FER;2019-02-15;YES
13504529;ALDARA 5% CREME SACHETS;+ Alpha Pharmaceuticals GmbH;CRE;2019-02-15;YES
13504558;ESMYA 5MG;+ Alpha Pharmaceuticals GmbH;TAB;2019-02-15;YES
13504570;EVIPLERA 200MG/25MG/245MG;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
13504624;KIVEXA 600MG/300MG;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
13504647;PRADAXA 110MG;+ Alpha Pharmaceuticals GmbH;HKP;2019-02-15;YES
13504653;PRADAXA 150MG;+ Alpha Pharmaceuticals GmbH;HKP;2019-02-15;YES
13504713;SPRYCEL 100MG;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
13504736;TRUVADA 200MG/245MG;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
13504759;ULTIBRO BREEZHALER 85/43UG;+ Alpha Pharmaceuticals GmbH;HPI;2019-02-15;YES
13504765;VELCADE 3.5MG;+ Alpha Pharmaceuticals GmbH;PIJ;2019-02-15;YES
13504771;ZEBINIX 800MG;+ Alpha Pharmaceuticals GmbH;TAB;2019-02-15;YES
13507999;MADOPAR DEPOT;+ Alpha Pharmaceuticals GmbH;REK;2019-02-15;YES
13657983;PLAVIX 75MG FTA;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
13946871;ATROVENT 500MYG/2ML;+ Alpha Pharmaceuticals GmbH;LOV;2019-02-15;YES
13946888;ATROVENT N;+ Alpha Pharmaceuticals GmbH;DOS;2019-02-15;YES
13946902;MABTHERA 100MG;+ Alpha Pharmaceuticals GmbH;IFK;2019-02-15;YES
13946919;SALOFALK 500MG;+ Alpha Pharmaceuticals GmbH;SUP;2019-02-15;YES
13946925;SUTENT 50MG;+ Alpha Pharmaceuticals GmbH;HKP;2019-02-15;YES
14166247;XARELTO 2.5MG;Bayer Vital GmbH GB Pharma;FTA;2019-02-15;YES
655;AMOXICILLIN RAT 750MG FTA;ratiopharm GmbH;FTA;2019-02-15;PARTIAL
2513;TRACLEER 32MG TABL;Actelion Pharmaceuticals Dtl. GmbH;TSE;2019-02-15;PARTIAL
2648;OME TAD 20MG BEI SODBRENN;TAD Pharma GmbH;HKM;2019-02-15;PARTIAL
2654;OME TAD 20MG BEI SODBRENN;TAD Pharma GmbH;HKM;2019-02-15;PARTIAL
3004;SYNACTHENE 0.25MG;ACA Müller/ADAG Pharma AG;ILO;2019-02-15;PARTIAL
3027;NEXAVAR 200MG;CC-Pharma GmbH;FTA;2019-02-15;PARTIAL
3033;ERBITUX 5MG/ML INFUSIONSLO;CC-Pharma GmbH;INF;2019-02-15;PARTIAL
